,x,y,t,vit_vent,angle_vent,cap,twa,polaire
0,50.263888888888886,-1.6972222222222222,1602012531.6157317,24.521708044863484,283.93486985977944,82.99999999999642,159.06513014021698,12.954081641753342
1,50.268249555251515,-1.6416655034526322,1602013131.6157317,24.310454666386327,284.41917503660306,81.99999999999704,157.58082496339398,12.91265090185161
2,50.273209859869766,-1.5864484695548595,1602013731.6157317,24.105270847135163,284.8896502967673,79.99999999999653,155.11034970322925,12.885770934720336
3,50.279391345347044,-1.5315972134677893,1602014331.6157317,23.895858904123195,285.34355642584023,77.9999999999946,152.65644357415437,12.883874037988207
4,50.286793989196305,-1.4770991307560513,1602014931.6157317,23.682384015719734,285.7807283917771,81.00000000000239,155.2192716082253,12.653709558945039
5,50.29226533136176,-1.4230339335749398,1602015531.6157317,23.514927702092585,286.2128913282401,79.99999999999915,153.78710867175903,12.624410916142455
6,50.29832752123054,-1.3692197038617842,1602016131.6157317,23.35247421359046,286.62952575547007,77.00000000000529,150.37047424453522,12.685779934210696
7,50.30621546519132,-1.3157335437934736,1602016731.6157317,23.175332169447927,287.0268266832694,79.00000000000188,151.97317331673247,12.517745452340307
8,50.31282418730559,-1.2625007881378956,1602017331.6157317,23.031887222987095,287.4148828986255,77.99999999999562,150.58511710137014,12.49785296695019
9,50.32001474508372,-1.2095268636498635,1602017931.6157317,22.892468161973046,287.787448171249,77.99999999999591,150.21255182874688,12.43592852136188
10,50.327172017674606,-1.1567901802167129,1602018531.6157317,22.791219393544537,287.7603064947053,77.00000000000313,149.23969350529785,12.399938943175007
11,50.33489107030664,-1.1044174668501558,1602019131.6157317,22.68604832623535,287.69000699361413,77.0000000000046,149.30999300639047,12.340147580262146
12,50.34257316585594,-1.0522870341404946,1602019731.6157317,22.58279100184784,287.6279268846513,76.9999999999954,149.3720731153441,12.28153694157503
13,50.35021907520001,-1.0003937682643451,1602020331.6157317,22.48171132088474,287.57331044346137,74.99999999999739,147.42668955653602,12.255534019625108
14,50.358998106550004,-0.9490473647831995,1602020931.6157317,22.18721552115161,287.53789934368393,75.99999999999903,148.4621006563151,12.0751882361658
15,50.36708329599934,-0.8982179239397793,1602021531.6157317,21.901759637438143,287.5685820782017,70.0000000000046,142.4314179218029,11.96010191203813
16,50.378403090182246,-0.8494602660860529,1602022131.6157317,21.571352787749,287.65185950943874,72.99999999999585,145.3481404905571,11.77460576220528
17,50.38792900483907,-0.8006016172961937,1602022731.6157317,21.267210389756386,287.8025343852573,66.99999999999466,139.19746561473738,11.615220939094986
18,50.40048218276512,-0.7542181965336823,1602023331.6157317,20.92322835125569,288.0011340316589,74.0000000000029,145.99886596834398,11.413213782146926
19,50.4091882242812,-0.7065860328768485,1602023931.6157317,20.63392143608545,288.2775902262921,65.99999999999903,137.72240977370694,11.26710381112209
20,50.42186619968902,-0.6619050658422895,1602024531.6157317,20.29321475284568,288.5913543906245,68.99999999999767,140.4086456093732,11.1214134505463
21,50.43290186383384,-0.6167825742133315,1602025131.6157317,19.977175903893,288.97193009987654,64.00000000000477,135.02806990012823,10.916655500224644
22,50.44617630643871,-0.5740550474979632,1602025731.6157317,19.63556278821772,289.39162133692037,64.99999999999557,135.6083786630752,10.852323800371371
23,50.45889395155446,-0.531226910144973,1602026331.6157317,19.304595654086306,289.869295882646,64.99999999999466,135.13070411734867,10.78061279233358
24,50.471533032106464,-0.4886519049428139,1602026931.6157317,18.978497602599216,290.4016956294055,70.0000000000008,139.59830437059532,10.739810064098528
25,50.48171968066478,-0.4446781749931362,1602027531.6157317,18.688071582542182,291.01600612262126,69.00000000000159,137.98399387738033,10.667385649016968
26,50.492323027090954,-0.401268456833185,1602028131.6157317,18.396849513964405,291.6846582363862,69.00000000000455,137.31534176361833,10.602071040357625
27,50.502863120386365,-0.35810801075924237,1602028731.6157317,18.11161326237497,292.4127436111535,51.73620559917674,119.32346198802327,10.392411818082666
28,50.51111111111111,-0.3416666666666667,1602029108.0504818,17.924549344268446,292.4593046851102,0.0,67.54069531488977,8.00478811939949
