,x,y,t,vit_vent,angle_vent,cap,twa,polaire
0,-3.548611111111111,-49.01027777777778,1600324291.5188248,22.776640681467082,73.7981307369829,295.99999999999545,137.79813073698745,12.341980541671743
1,-3.5955885419117317,-49.0253065782325,1600324891.5188248,22.85232389272929,73.92902011386616,293.99999999999795,139.9290201138682,12.453060195649625
2,-3.6437812792759954,-49.03937634462139,1600325491.5188248,22.923770049882076,74.05452509834845,293.99999999999955,140.0545250983489,12.4929587444785
3,-3.6921420971230883,-49.05349118934865,1600326091.5188248,22.992630695899763,74.17553518907289,298.0,136.1755351890729,12.392608902693617
4,-3.738520855455897,-49.069652237872376,1600326691.5188248,23.062810632820568,74.2929252286383,296.00000000000455,138.29292522863375,12.503228173060997
5,-3.786168892630694,-49.084877389185685,1600327291.5188248,23.12976132039352,74.40475901708498,296.00000000000364,138.40475901708135,12.54114901566508
6,-3.8339760924054573,-49.10014871661916,1600327891.5188248,23.195407850848383,74.51138863565103,293.0000000000035,141.51138863564756,12.646341918615803
7,-3.8833639729578033,-49.113874603977834,1600328491.5188248,23.256344857175467,74.61194844692056,289.9999999999957,144.61194844692488,12.700267448368242
8,-3.93401032939134,-49.12594056868051,1600329091.5188248,23.311613417966598,74.70609705103038,287.99999999999875,146.70609705103163,12.727852089598555
9,-3.9853929944419906,-49.136865909229336,1600329691.5188248,23.362141255557525,74.79430840730606,300.9999999999983,133.79430840730777,12.486894037452693
10,-4.030836404128459,-49.1547304255256,1600330291.5188248,23.46576561021665,74.89321531516617,289.9999999999981,144.89321531516805,12.816831425391491
11,-4.081989738969413,-49.166907132528635,1600330891.5188248,23.580624247988926,74.99306210450243,288.9999999999991,145.99306210450334,12.887482782786197
12,-4.133756668595385,-49.17856200470972,1600331491.5188248,23.698640520843526,75.08423496647242,294.00000000000455,141.08423496646787,12.90796596466323
13,-4.183864368180668,-49.193145734558065,1600332091.5188248,23.82481266098227,75.1686614600062,298.00000000000296,137.16866146000325,12.840495402989276
14,-4.2320548422409665,-49.20989086634636,1600332691.5188248,23.954465252571076,75.24593499445729,294.99999999999966,140.24593499445768,13.031313951992828
15,-4.282272385735796,-49.22518884204244,1600333291.5188248,24.092711925668965,75.31856305921286,287.000000000004,148.31856305920883,13.139286471747562
16,-4.335715783611056,-49.235859829777404,1600333891.5188248,24.267080438583672,75.3881544709833,292.00000000000364,143.38815447097966,13.241869513958438
17,-4.387947576851059,-49.24963897319152,1600334491.5188248,24.436907254937186,75.46824378520284,292.00000000000136,143.46824378520148,13.334838421842978
18,-4.440560759351224,-49.26351485762196,1600335091.5188248,24.597998324701123,75.55526165866746,290.00000000000415,145.5552616586633,13.446749550559026
19,-4.4943463793907155,-49.27629002209015,1600335691.5188248,24.749992268821323,75.6461645981127,290.99999999999807,144.64616459811464,13.519417946305602
20,-4.5480848422139175,-49.28974815011366,1600336291.5188248,24.893530897203206,75.74220904777121,285.9999999999967,149.7422090477745,13.566863873025484
21,-4.603626026948232,-49.30013574590446,1600336891.5188248,25.028225812486088,75.83387428825961,286.0000000000025,149.8338742882571,13.626848080033328
22,-4.659424537910585,-49.31056926916252,1600337491.5188248,25.155493305772584,75.92634686291422,286.000000000005,149.9263468629092,13.633326558034097
23,-4.715261398813292,-49.32100775272765,1600338091.5188248,25.275044087702874,76.01814550339583,285.99999999999864,150.01814550339714,13.638783154654169
24,-4.771132447263932,-49.33145041418685,1600338691.5188248,25.386919205375843,76.10839474545776,286.000000000005,150.10839474545276,13.641218813013165
25,-4.8270253265100544,-49.34189494053057,1600339291.5188248,25.491151896832175,76.19620624050242,287.0000000000015,149.19620624050094,13.66135763512221
26,-4.882723891600726,-49.35298992503226,1600339891.5188248,25.587044709253966,76.28283046132935,293.9999999999962,142.2828304613331,13.63839731492464
27,-4.935854558698987,-49.36839891375672,1600340491.5188248,25.668061395280247,76.3770530394587,286.9999999999949,149.37705303946382,13.66962684700744
28,-4.9916168774718965,-49.379500614046115,1600341091.5188248,25.747224518905615,76.45471659810534,286.99999999999716,149.45471659810823,13.673455479170338
29,-5.04740741360184,-49.39060542373471,1600341691.5188248,25.707191840142052,76.60752664930129,294.0000000000026,142.60752664929873,13.651264870945097
30,-5.100628918254219,-49.4060289505329,1600342291.5188248,25.632245855560093,76.76568682674281,297.9999999999971,138.76568682674565,13.512568568877782
31,-5.151561222141607,-49.42365052465313,1600342891.5188248,25.542832012425418,76.90773650981191,288.9999999999992,147.9077365098127,13.677757031601173
32,-5.206789481248137,-49.4360200860806,1600343491.5188248,25.44124873384156,77.02763145681718,286.99999999999744,150.0276314568198,13.648413697524541
33,-5.2625419886139175,-49.4471045582459,1600344091.5188248,25.314319400585845,77.1614751852909,286.99999999999824,150.1614751852926,13.63420543822341
34,-5.318249047485556,-49.45817749126399,1600344691.5188248,25.109698836879776,77.49085921284984,288.00000000000495,149.49085921284495,13.636004074632782
35,-5.373670210501882,-49.46988237180407,1600345291.5188248,24.903048346041793,77.84462975315921,303.9999999999992,133.84462975316,13.207028137960421
36,-5.420472300944518,-49.49039702850042,1600345891.5188248,24.68633172004991,78.22980612311619,296.99999999999534,141.22980612312085,13.43120636578028
37,-5.471647999362789,-49.5073349176396,1600346491.5188248,24.468698734785253,78.64055985546963,292.9999999999985,145.6405598554711,13.376238370234038
38,-5.524319812732658,-49.52185300850999,1600347091.5188248,24.254406205357366,79.07140613072204,304.0000000000018,135.07140613072022,12.95703972840988
39,-5.570284795854708,-49.54197935480476,1600347691.5188248,24.0341570059216,79.5290604275798,301.99999999999886,137.52906042758093,12.96021411328984
